category_id	category_code	large_category	medium_category	small_category
1	821510	경조사/회비	기부	일반
2	821010	경조사/회비	기타	일반
3	821310	경조사/회비	용돈	일반
4	821410	경조사/회비	헌금	일반
5	821210	경조사/회비	회비	일반
6	621010	교통/차량	기타	일반
7	621011	교통/차량	기타	화물
8	621110	교통/차량	대리운전	일반
9	621410	교통/차량	대중교통	일반
10	621412	교통/차량	대중교통	지하철
11	621413	교통/차량	대중교통	교통카드
12	621414	교통/차량	대중교통	여객선
13	621415	교통/차량	대중교통	버스
14	621416	교통/차량	대중교통	기차
15	621510	교통/차량	렌트카	일반
16	621511	교통/차량	렌트카	카쉐어링
17	621310	교통/차량	정비/부품	일반
18	621311	교통/차량	정비/부품	폐차
19	621312	교통/차량	정비/부품	중고차
20	623011	교통/차량	주차/요금소	주차장
21	621314	교통/차량	정비/부품	정비소
22	621315	교통/차량	정비/부품	자동차용품
23	621317	교통/차량	정비/부품	오토바이
24	621318	교통/차량	정비/부품	썬팅
25	621319	교통/차량	정비/부품	세차장
26	623015	교통/차량	주차/요금소	도로이용
27	621322	교통/차량	정비/부품	견인
28	621210	교통/차량	주유소	일반
29	621211	교통/차량	주유소	충전소
30	621213	교통/차량	주유소	LPG충전소
31	621610	교통/차량	택시	일반
32	661610	여행/숙박	항공	일반
33	421010	금융/보험	기타	일반
34	421210	금융/보험	보험	일반
35	421211	금융/보험	보험	해운
36	421212	금융/보험	보험	해상
37	421214	금융/보험	보험	손해보험
38	421215	금융/보험	보험	생명보험
39	421216	금융/보험	보험	상조보험
40	421217	금융/보험	보험	건강보험
41	421310	금융/보험	은행	일반
42	421110	금융/보험	세금/과태료	일반
43	421510	금융/보험	카드	일반
44	421410	금융/보험	증권/투자	일반
45	561310	문화/예술	공연	일반
46	561010	문화/예술	기타	일반
47	561210	문화/예술	도서	일반
48	561211	문화/예술	도서	도서대여점
49	561212	문화/예술	도서	출판
50	561213	문화/예술	도서	인터넷서점
51	561214	문화/예술	도서	서점
52	561110	문화/예술	영화	일반
53	561111	문화/예술	영화	영화제
54	561410	문화/예술	전시/관람	일반
55	561411	문화/예술	전시/관람	동물원
56	561412	문화/예술	전시/관람	미술관
57	561413	문화/예술	전시/관람	박물관
58	561414	문화/예술	전시/관람	수족관
59	561415	문화/예술	전시/관람	식물원
60	561416	문화/예술	전시/관람	전시
61	561510	문화/예술	취미	일반
62	561511	문화/예술	취미	게임
63	561512	문화/예술	취미	뮤직
64	561513	문화/예술	취미	바둑
65	561514	문화/예술	취미	수공예
66	561515	문화/예술	취미	아트
67	561516	문화/예술	취미	전통예술
68	561517	문화/예술	취미	카메라
69	561518	문화/예술	취미	칼리그라피
70	101310	기타지출	공공기관	일반
71	101210	기타지출	기업	일반
72	101010	기타지출	기타	일반
73	101110	기타지출	컨설팅	일반
74	361010	백화점/패션	기타	일반
75	361510	백화점/패션	백화점	일반
76	361511	백화점/패션	백화점	프리미엄
77	361410	백화점/패션	스포츠의류	일반
78	361412	백화점/패션	스포츠의류	아웃도어
79	361413	백화점/패션	스포츠의류	스포츠의류용품
80	361310	백화점/패션	아울렛/몰	일반
81	361210	백화점/패션	잡화	일반
82	361110	백화점/패션	패션	일반
83	361111	백화점/패션	패션	중고의류
84	361112	백화점/패션	패션	패션잡화
85	361114	백화점/패션	패션	의류
86	361115	백화점/패션	패션	안경
87	361116	백화점/패션	패션	신발
88	361117	백화점/패션	패션	수선
89	361118	백화점/패션	패션	귀금속
90	361119	백화점/패션	패션	가방
91	361120	백화점/패션	패션	가발
92	361121	백화점/패션	패션	모자
93	361122	백화점/패션	패션	온라인
94	461010	뷰티/미용	기타	일반
95	461027	뷰티/미용	기타	문신
96	461028	뷰티/미용	기타	메이크업
97	461410	뷰티/미용	네일	일반
98	461311	뷰티/미용	뷰티제품	화장품
99	461312	뷰티/미용	뷰티제품	드럭스토어
100	461310	뷰티/미용	뷰티제품	일반
101	461210	뷰티/미용	피부/체형관리	일반
102	461211	뷰티/미용	피부/체형관리	피부관리
103	461212	뷰티/미용	피부/체형관리	체형관리
104	461214	뷰티/미용	피부/체형관리	두피관리
105	461110	뷰티/미용	헤어샵	일반
106	321810	생활/마트	가전/가구	일반
107	321811	생활/마트	가전/가구	침구
108	321812	생활/마트	가전/가구	전자제품
109	321814	생활/마트	가전/가구	인테리어
110	321815	생활/마트	가전/가구	가구
111	321010	생활/마트	기타	일반
112	321011	생활/마트	기타	중고
113	321030	생활/마트	기타	주류
114	321032	생활/마트	기타	복권
115	321033	생활/마트	기타	담배
116	321610	생활/마트	마트	일반
117	321611	생활/마트	마트	할인마트
118	321612	생활/마트	마트	청과/채소
119	321613	생활/마트	마트	정육점
120	321615	생활/마트	마트	식품
121	321616	생활/마트	마트	슈퍼마켓
122	321617	생활/마트	마트	상가
123	361512	백화점/패션	백화점	면세점
124	321619	생활/마트	마트	대형마트
125	321510	생활/마트	반려동물	일반
126	321511	생활/마트	반려동물	페트
127	321513	생활/마트	반려동물	애완
128	321514	생활/마트	반려동물	반려
129	321515	생활/마트	반려동물	동물병원
130	321516	생활/마트	반려동물	관상어
131	321410	생활/마트	육아	일반
132	321411	생활/마트	육아	장난감
133	321413	생활/마트	육아	유아용품
134	321414	생활/마트	육아	유아교육
135	321415	생활/마트	육아	어린이집
136	321710	생활/마트	기프트샵/꽃	일반
137	821111	경조사/회비	경조사	장례
138	821112	경조사/회비	경조사	웨딩
139	321714	생활/마트	기프트샵/꽃	꽃집
140	321310	생활/마트	일상용품	일반
141	321311	생활/마트	일상용품	철물점
142	321312	생활/마트	일상용품	주방
143	321314	생활/마트	일상용품	생활
144	321315	생활/마트	일상용품	사무용품
145	321711	생활/마트	기프트샵/꽃	기프트샵
146	321210	생활/마트	생활서비스	일반
147	321212	생활/마트	생활서비스	우편
