from_country	to_country	currency_rate	create_at
USD	KRW	1134.26001	2018-07-24 00:27:06
KRW	KRW	1	2018-07-24 00:27:06
VND	KRW	0.0492044	2018-07-24 00:27:06
BOB	KRW	165.3440248	2018-07-24 00:27:06
MOP	KRW	140.3283487	2018-07-24 00:27:06
BDT	KRW	13.5047034	2018-07-24 00:27:06
MDL	KRW	68.226166	2018-07-24 00:27:06
VEF	KRW	0.0078965	2018-07-24 00:27:06
GEL	KRW	464.8035119	2018-07-24 00:27:06
ISK	KRW	10.690481	2018-07-24 00:27:06
BYR	KRW	0.0566563	2018-07-24 00:27:06
THB	KRW	33.9395595	2018-07-24 00:27:06
MXV	KRW	361.165351	2018-07-24 00:27:06
TND	KRW	427.9741954	2018-07-24 00:27:06
JMD	KRW	8.7743481	2018-07-24 00:27:06
DKK	KRW	178.1458561	2018-07-24 00:27:06
SRD	KRW	152.8652305	2018-07-24 00:27:06
BWP	KRW	109.5088688	2018-07-24 00:27:06
NOK	KRW	138.6286984	2018-07-24 00:27:06
MUR	KRW	33.1170806	2018-07-24 00:27:06
AZN	KRW	667.4080671	2018-07-24 00:27:06
INR	KRW	16.437931	2018-07-24 00:27:06
MGA	KRW	0.3463389	2018-07-24 00:27:06
CAD	KRW	862.1027826	2018-07-24 00:27:06
XAF	KRW	2.0245605	2018-07-24 00:27:06
LBP	KRW	0.7536611	2018-07-24 00:27:06
XDR	KRW	1588.2257536	2018-07-24 00:27:06
IDR	KRW	0.0783058	2018-07-24 00:27:06
IEP	KRW	1622.3321471	2018-07-24 00:27:06
AUD	KRW	837.0304848	2018-07-24 00:27:06
MMK	KRW	0.786043	2018-07-24 00:27:06
LYD	KRW	824.1970716	2018-07-24 00:27:06
ZAR	KRW	83.8589961	2018-07-24 00:27:06
IQD	KRW	0.9531597	2018-07-24 00:27:06
XPF	KRW	11.1870995	2018-07-24 00:27:06
TJS	KRW	120.416159	2018-07-24 00:27:06
CUP	KRW	1134.26001	2018-07-24 00:27:06
UGX	KRW	0.3036028	2018-07-24 00:27:06
NGN	KRW	3.1594986	2018-07-24 00:27:06
PGK	KRW	348.2529966	2018-07-24 00:27:06
TOP	KRW	481.4346392	2018-07-24 00:27:06
TMT	KRW	332.6275689	2018-07-24 00:27:06
KES	KRW	11.3086737	2018-07-24 00:27:06
CRC	KRW	2.0073622	2018-07-24 00:27:06
MZN	KRW	19.6476704	2018-07-24 00:27:06
BYN	KRW	569.9799045	2018-07-24 00:27:06
SYP	KRW	2.2025322	2018-07-24 00:27:06
ANG	KRW	616.4456576	2018-07-24 00:27:06
ZMW	KRW	115.7408173	2018-07-24 00:27:06
BRL	KRW	298.9378831	2018-07-24 00:27:06
BSD	KRW	1134.26001	2018-07-24 00:27:06
NIO	KRW	36.1920871	2018-07-24 00:27:06
GNF	KRW	0.1258331	2018-07-24 00:27:06
BMD	KRW	1134.26001	2018-07-24 00:27:06
SLL	KRW	0.1351919	2018-07-24 00:27:06
MKD	KRW	21.6751379	2018-07-24 00:27:06
BIF	KRW	0.6477858	2018-07-24 00:27:06
LAK	KRW	0.1349506	2018-07-24 00:27:06
BHD	KRW	3003.071247	2018-07-24 00:27:06
SHP	KRW	1490.2903823	2018-07-24 00:27:06
BGN	KRW	679.4417216	2018-07-24 00:27:06
SGD	KRW	830.6007001	2018-07-24 00:27:06
CNY	KRW	166.9846612	2018-07-24 00:27:06
EUR	KRW	1327.5515098	2018-07-24 00:27:06
TTD	KRW	168.6180665	2018-07-24 00:27:06
SCR	KRW	84.4571862	2018-07-24 00:27:06
BBD	KRW	567.130005	2018-07-24 00:27:06
SBD	KRW	143.6426739	2018-07-24 00:27:06
MAD	KRW	120.1839442	2018-07-24 00:27:06
GTQ	KRW	151.4972633	2018-07-24 00:27:06
MWK	KRW	1.5898464	2018-07-24 00:27:06
PKR	KRW	8.8544883	2018-07-24 00:27:06
ITL	KRW	0.6671049	2018-07-24 00:27:06
PEN	KRW	346.0114121	2018-07-24 00:27:06
AED	KRW	308.8354644	2018-07-24 00:27:06
LVL	KRW	1827.8301668	2018-07-24 00:27:06
UAH	KRW	42.9318702	2018-07-24 00:27:06
FRF	KRW	0.6671049	2018-07-24 00:27:06
LRD	KRW	7.5416227	2018-07-24 00:27:06
LSL	KRW	84.7094854	2018-07-24 00:27:06
SEK	KRW	128.0985353	2018-07-24 00:27:06
RON	KRW	285.8302069	2018-07-24 00:27:06
XOF	KRW	2.0251749	2018-07-24 00:27:06
COP	KRW	0.3924232	2018-07-24 00:27:06
CDF	KRW	0.7245353	2018-07-24 00:27:06
TZS	KRW	0.499674	2018-07-24 00:27:06
GHS	KRW	236.6245979	2018-07-24 00:27:06
NPR	KRW	10.3067695	2018-07-24 00:27:06
ZWL	KRW	3.5186672	2018-07-24 00:27:06
