id	name	image
1	카카오뱅크 - 같지만 다른 은행	https://lh3.googleusercontent.com/sqlYaEpL2c9d_7mAqegrZSyPPl1HksSoMAjrSW8LCBaK7n25HZKNeeAYlgRK8VkoVyk=s180-rw
2	케이뱅크(K bank)	https://lh3.googleusercontent.com/AIqsZKyK-KBB_mLws6hGi2yC0Wiiu4N9gmXXUE5WPLoYnOWBy7pmK-YbUQZgkwq6rohK=s180-rw
3	Samsung Pay(삼성 페이)	https://lh3.googleusercontent.com/Aza-shHRWEGfsnjwPbZuInck7mzcOWmWxsbbpp-WAyth3eArXhaT0FVmL6zLceOwvA=s180-rw
4	현대카드	https://lh3.googleusercontent.com/UpLnTjWY6p07fwt0rvsFcpt6OypUhwCDg7BmaJUSoV-An3AyPfhckS9aKLvd9X3pZDHY=s180-rw
5	KB스타알림	https://lh3.googleusercontent.com/yCAl2YG4tbjE38CmuetYvtUcO_lKvBghbyLMaQzYI_gjvkQbV-iYSuyzVHvTVdodObo=s180-rw
6	KB국민 앱카드	https://lh3.googleusercontent.com/xR7uQMi4nq0hjydpPflKdHrWa36OELjazLy0nU2YjJMemXxZ27fS_mP8vGOApxop=s180-rw
7	신한 쏠(SOL) – 신한은행 스마트폰뱅킹	https://lh3.googleusercontent.com/qfPhx8V0iJDQgOtFTgS8XVR3e6gYPunZSDYEsJmQWiw4f6nRfXASO_YR8zCJlvz40Q=s180-rw
8	하나알리미 - 하나은행 알리미, 입출금 알리미, 알리미	https://lh3.googleusercontent.com/RQdWYCVuGHd3KD0Z5KaESFwF8X9vrDfW4UJCCLsjCBgz0zGsygFIG4-rYPuBZwpfhK4=s180-rw
9	하나1Q페이(앱카드)	https://lh3.googleusercontent.com/vIhe4W2xvDaqprmZ_CxsQAtnCTK_QRrBSjy7w2L5T05eLTs1YI1WnyZdDr8bB91Lc98=s180-rw
10	KEB하나은행 – 스마트폰뱅킹(Hana 1Q bank)	https://lh3.googleusercontent.com/Gi5Q9nLY77694mBsWWt-tCTrJeQmbbZ9GY_PKHW4LAkCdRcQiiGQqLUYA03SNxoZiQ=s180-rw
11	우리은행 원터치개인뱅킹	https://lh3.ggpht.com/yx2R8EXHnMScpt00QWvkdE1-egjf6bPqgVf2CVADMupfD733yYnLMGZtezZNISvqwQ=s180-rw
12	우리은행 원터치알림	https://lh3.googleusercontent.com/sco-rziFifLzeMHt7IXZLJF-0UotSdkI9oxcAf9Z8DY1emiI4MS6CkMLXukuZ-1EXgI=s180-rw
13	우리카드 (스마트앱)	https://lh3.googleusercontent.com/IljxUrPiV5dqwlHd-BhMMp0NeuEB1SfymyLgeK3WaCDS60k1C9LmS7VB-mDkKFP1sg=s180-rw
14	경남은행 투유알림	https://lh3.googleusercontent.com/nCEIPizydrO-dVRxCWyalURNH7rLak0gygnqCIqa5WrnR5jtIubqJlzS_1_b-gxkdfru=s180-rw
15	IBK ONE알림	https://lh3.googleusercontent.com/vDE6-XnhlwHExa521NRwseUMZKhnaLkoMW3X3FYospAVcUFKi2GLXI2GeO1SVGo46aY=s180-rw
16	씨티모바일	https://lh3.googleusercontent.com/jNitweR9RfT8thbR4TlaLIEXtZ_IyqPjdIg3UAB8_Sqi1En8HAiKdzf3ocMkRA8gPDU=s180-rw
17	BNK부산은행 푸시알림	https://lh3.googleusercontent.com/m9HA80SsmzRM0e5wLHCtuNOLYPptgPW3zqjVT7ZnN8H_urXdlIm3G6SGBz6bZM_GxO8=s180-rw
18	KB증권	https://lh3.googleusercontent.com/5MBAJBuwuvxtBKvBrVzWvzkEGuIF8Cc4sFwWtYOfDr36EpDUasnTcAnOA3zp2wbmCg=s180-rw
19	SC제일은행 모바일뱅킹	https://lh3.googleusercontent.com/wKF1K7HJIVgS_J0GtdmZrsVJho69rHCldtqTFpXdyr2VZZ0IJEpvIgEzI4-YHrbudxh_=s180-rw
20	NH스마트 알림	https://lh3.googleusercontent.com/NR1IQCYhh6zMgaVf_QwYS48Cpc7VdosZukXzWpDVhW4sDcpnf6iIWjB6swxV1xzOBqo=s180-rw
21	수협 헤이뱅크	https://lh3.googleusercontent.com/MHcnAJN4aqVymRwBjS5TOQ5WvPFHoKgG6cgRkWICXJDfAq94vMbX9r90BWcg0nosAoAJ=s180-rw
22	신협 S뱅킹	https://lh3.googleusercontent.com/WhwllMcvbTTzYpLIj8yiI-lCaO7Uf027Vdq6oj75kLyK_MI0AUWmd2PaaM2mMDEHT1w=s180-rw
23	DGB 알리미 - 대구은행	https://lh3.googleusercontent.com/W81pzyNCQwQVXqQJsGWdsBiV-YLkeKzuYmFzGRavpVU2r7hKq9T2uBQUdcZjxmdmtp_G=s180-rw
